frame,t,omega_x,omega_y,omega_z
46,1.5333333333333334,0.0291,0.0,0.01
47,1.5666666666666667,0.0236,0.0,-0.0008
48,1.6,0.0228,0.0,0.0041
49,1.6333333333333333,0.0017,0.0,-0.0088
50,1.6666666666666667,0.0036,0.0,-0.0013
51,1.7,0.033,0.1,-0.0055
52,1.7333333333333334,-0.0001,0.1,-0.0219
53,1.7666666666666666,-0.0115,0.1,0.0074
54,1.8,-0.0034,0.1,-0.0164
55,1.8333333333333333,0.0253,0.0,0.0078
56,1.8666666666666667,0.01,0.0,-0.0176
57,1.9,0.0109,0.0,0.0136
58,1.9333333333333333,0.0114,0.0,0.0055
59,1.9666666666666666,0.0096,0.0,-0.0111
60,2.0,-0.018,0.0,-0.0147
61,2.033333333333333,-0.0267,0.0,-0.0108
62,2.066666666666667,-0.0164,0.0,-0.0089
63,2.1,0.0222,0.0,0.0073
64,2.1333333333333333,-0.0297,0.0,0.0065
65,2.1666666666666665,-0.0143,0.0,-0.003
66,2.2,-0.021,0.0,-0.0195
67,2.2333333333333334,0.0051,0.0,0.0133
68,2.2666666666666666,0.0037,0.0,0.0085
69,2.3,-0.0139,0.0,-0.0026
70,2.3333333333333335,-0.0272,0.0,-0.0108
71,2.3666666666666667,-0.0086,0.0,0.0045
72,2.4,0.0247,0.0,0.0027
73,2.433333333333333,-0.0055,0.0,-0.0102
74,2.466666666666667,0.0533,0.0,0.0032
75,2.5,-0.0177,0.0,0.0047
76,2.533333333333333,-0.0173,0.0,0.0202
77,2.566666666666667,-0.0032,0.0,0.0112
78,2.6,0.0118,0.0,0.0054
79,2.6333333333333333,0.0002,0.0,-0.0143
80,2.6666666666666665,0.0093,0.0,-0.0025
81,2.7,0.002,0.0,-0.0083
82,2.7333333333333334,-0.0185,0.0,-0.0003
83,2.7666666666666666,-0.0544,0.0,0.0054
84,2.8,-0.0139,0.0,0.0047
85,2.8333333333333335,0.026,0.0,-0.008
86,2.8666666666666667,0.0288,0.0,0.0094
87,2.9,0.0247,0.0,0.0064
88,2.933333333333333,0.0307,0.0,0.0163
89,2.966666666666667,-0.0167,0.0,0.0053
90,3.0,-0.063,0.0,0.0098
91,3.033333333333333,-0.0059,0.0,-0.0068
92,3.066666666666667,0.0125,0.0,-0.0181
93,3.1,-0.0307,0.0,-0.0033
94,3.1333333333333333,0.0194,0.0,-0.0024
95,3.1666666666666665,0.0186,0.0,0.0124
96,3.2,-0.0052,0.0,-0.0048
97,3.2333333333333334,0.0006,0.0,-0.0304
98,3.2666666666666666,-0.0006,0.0,-0.014
99,3.3,0.0081,0.0,0.0061
100,3.3333333333333335,-0.0455,0.0,0.0186
101,3.3666666666666667,0.0602,0.0,-0.0004
102,3.4,-0.009,0.0,0.0064
103,3.433333333333333,0.0098,0.0,0.0101
104,3.466666666666667,-0.0332,0.0,0.0064
105,3.5,0.0099,0.0,-0.0098
106,3.533333333333333,-0.011,0.0,0.021
107,3.566666666666667,0.0174,0.0,-0.0131
108,3.6,-0.0148,0.0,0.006
109,3.6333333333333333,0.0226,0.0,-0.0061
110,3.6666666666666665,-0.0072,0.0,-0.0106
111,3.7,0.0069,0.0,0.0059
112,3.7333333333333334,-0.0195,0.0,-0.0097
113,3.7666666666666666,0.0071,0.0,-0.0221
114,3.8,0.0389,0.0,-0.0181
115,3.8333333333333335,0.015,0.0,-0.0077
116,3.8666666666666667,-0.0042,0.0,-0.0183
117,3.9,-0.0248,0.0,-0.0038
118,3.933333333333333,0.0052,0.0,0.0008
119,3.966666666666667,0.004,0.0,0.0202
120,4.0,-0.0632,0.0,-0.011
121,4.033333333333333,-0.0358,0.0,-0.0059
122,4.066666666666666,-0.0018,0.0,0.0047
123,4.1,0.0127,0.0,-0.0009
124,4.133333333333334,-0.031,0.0,-0.0122
125,4.166666666666667,-0.0403,0.0,0.0016
126,4.2,0.0099,0.0,0.0133
127,4.233333333333333,0.0101,0.0,0.0008
128,4.266666666666667,0.0185,0.0,-0.0121
129,4.3,-0.0214,0.0,0.0103
130,4.333333333333333,0.0203,0.0,-0.0089
131,4.366666666666666,0.0099,0.0,-0.0191
132,4.4,0.0065,0.0,0.0024
133,4.433333333333334,-0.0041,0.0,0.0071
134,4.466666666666667,0.0149,0.0,0.0041
135,4.5,0.0106,0.0,-0.0019
136,4.533333333333333,0.0054,0.0,-0.0142
137,4.566666666666666,-0.0102,0.0,0.0079
138,4.6,0.0443,0.0,0.0078
139,4.633333333333334,-0.0396,0.0,0.0081
140,4.666666666666667,0.01,0.0,0.0016
141,4.7,0.0099,0.0,-0.0089
142,4.733333333333333,0.0218,0.0,-0.0058
143,4.766666666666667,0.0076,0.0,0.0177
144,4.8,0.0175,0.0,-0.0181
145,4.833333333333333,0.0342,0.0,0.0013
146,4.866666666666666,-0.0204,0.0,-0.0067
147,4.9,-0.0004,0.0,-0.0006
148,4.933333333333334,-0.003,0.0,0.0139
149,4.966666666666667,0.0271,0.0,0.0109
150,5.0,-0.0051,0.0,0.0071
151,5.033333333333333,0.0125,0.0,0.0023
152,5.066666666666666,0.0303,0.0,0.0083
153,5.1,0.036,0.0,0.0146
154,5.133333333333334,0.0034,0.0,0.0023
155,5.166666666666667,0.0182,0.0,0.0041
156,5.2,-0.0266,0.0,-0.0028
157,5.233333333333333,-0.0028,0.0,-0.007
158,5.266666666666667,-0.0218,0.0,0.0004
159,5.3,0.0326,0.0,-0.0037
160,5.333333333333333,-0.002,0.0,0.0011
161,5.366666666666666,-0.0032,0.0,0.0185
162,5.4,0.0101,0.0,0.0065
163,5.433333333333334,-0.0109,0.0,0.0146
164,5.466666666666667,0.0019,0.0,-0.0141
165,5.5,-0.0335,0.0,0.0121
166,5.533333333333333,0.0289,0.0,-0.0004
167,5.566666666666666,0.0299,0.0,-0.0096
168,5.6,-0.0161,0.0,0.0083
169,5.633333333333334,0.0117,0.0,-0.0104
170,5.666666666666667,-0.0044,0.0,-0.0114
171,5.7,0.0419,0.0,0.0173
172,5.733333333333333,0.0246,0.0,-0.0187
173,5.766666666666667,0.0111,0.0,-0.0079
174,5.8,0.0347,0.0,-0.0019
175,5.833333333333333,-0.0033,0.0,0.0065
